uci_id,group,short_name,error
319,B,mhealth,"DatasetNotFoundError('""MHEALTH"" dataset (id=319) exists in the repository, but is not available for import. Please select a dataset from this list: https://archive.ics.uci.edu/datasets?skip=0&take=10&sort=desc&orderBy=NumHits&search=&Python=true')"
137,C,reuters_21578,"DatasetNotFoundError('""Reuters-21578 Text Categorization Collection"" dataset (id=137) exists in the repository, but is not available for import. Please select a dataset from this list: https://archive.ics.uci.edu/datasets?skip=0&take=10&sort=desc&orderBy=NumHits&search=&Python=true')"
