task,dataset,model,train_rows,test_rows,accuracy,precision,recall,f1
classification,heart_disease,logistic_regression,242,61,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667
classification,heart_disease,random_forest,242,61,0.9016393442622951,0.8666666666666667,0.9285714285714286,0.896551724137931
classification,heart_disease,svm_rbf,242,61,0.8852459016393442,0.8181818181818182,0.9642857142857143,0.8852459016393442
classification,cdc_diabetes_sampled,logistic_regression,12800,3200,0.7440625,0.7298410829899941,0.775,0.7517429524098211
classification,cdc_diabetes_sampled,random_forest,12800,3200,0.72375,0.6986681465038845,0.786875,0.7401528512639624
classification,cdc_diabetes_sampled,svm_rbf,12800,3200,0.74375,0.7135815991237678,0.814375,0.7606538237011091
classification,breast_cancer,logistic_regression,455,114,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747
classification,breast_cancer,random_forest,455,114,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629
classification,breast_cancer,svm_rbf,455,114,0.9824561403508771,0.9761904761904762,0.9761904761904762,0.9761904761904762
